player_id,player_name,college,country,draft_year,draft_round,draft_number
920,A.C. Green,Oregon State,USA,1985,1,23
243,Aaron McKie,Temple,USA,1994,1,17
768,Acie Earl,Iowa,USA,1993,1,19
228,Adam Keefe,Stanford,USA,1992,1,10
673,Alan Henderson,Indiana,USA,1995,1,16
275,Allan Houston,Tennessee,USA,1993,1,11
947,Allen Iverson,Georgetown,USA,1996,1,1
297,Alonzo Mourning,Georgetown,USA,1992,1,2
175,Alton Lister,Arizona State,USA,1981,1,21
1043,Amal McCaskill,Marquette,USA,1996,2,49
692,Andrew DeClercq,Florida,USA,1995,2,34
457,Andrew Lang,Arkansas,USA,1988,2,28
358,Anfernee Hardaway,Memphis,USA,1993,1,3
924,Anthony Goldwire,Houston,USA,1994,2,52
193,Anthony Mason,Tennessee State,USA,1988,3,53
292,Anthony Miller,Michigan State,USA,1994,2,39
324,Anthony Peeler,Missouri,USA,1992,1,15
156,Antoine Carr,Wichita State,USA,1983,1,8
952,Antoine Walker,Kentucky,USA,1996,1,6
213,Antonio Davis,Texas-El Paso,USA,1990,2,45
226,Antonio Lang,Duke,USA,1994,2,29
686,Antonio McDyess,Alabama,USA,1995,1,2
288,Armen Gilliam,UNLV,USA,1987,1,2
717,Arvydas Sabonis,None,Lithuania,1986,1,24
769,B.J. Armstrong,Iowa,USA,1989,1,18
989,Ben Davis,Arizona,USA,1996,2,43
104,Benoit Benjamin,Creighton,USA,1985,1,3
82,Bill Wennington,St. John's,USA,1985,1,16
182,Billy Owens,Syracuse,USA,1991,1,3
902,Bimbo Coles,Virginia Tech,USA,1990,2,40
183,Bison Dele,Arizona,USA,1991,1,10
898,Blue Edwards,East Carolina,USA,1989,1,21
682,Bob Sura,Florida State,USA,1995,1,17
310,Bobby Hurley,Duke,USA,1993,1,7
184,Bobby Phills,Southern,USA,1991,2,45
38,Brad Lohaus,Iowa,USA,1987,2,45
699,Brent Barry,Oregon State,USA,1995,1,15
85,Brent Price,Oklahoma,USA,1992,2,32
967,Brian Evans,Indiana,USA,1996,1,27
258,Brian Grant,Xavier,USA,1994,1,8
216,Brian Shaw,California-Santa Barbara,USA,1988,1,24
240,Brooks Thompson,Oklahoma State,USA,1994,1,27
735,Bryant Reeves,Oklahoma State,USA,1995,1,6
179,Bryant Stith,Virginia,USA,1992,1,13
935,Bryon Russell,Long Beach State,USA,1993,2,45
433,Buck Williams,Maryland,USA,1981,1,3
2,Byron Scott,Arizona State,USA,1983,1,4
384,Calbert Cheaney,Indiana,USA,1993,1,6
61,Carl Herrera,Houston,USA,1990,2,30
435,Carlos Rogers,Tennessee State,USA,1994,1,11
76,Cedric Ceballos,California State-Fullerton,USA,1990,2,48
787,Charles Barkley,Auburn,USA,1984,1,5
279,Charles Jones,Albany State (GA),USA,1979,8,165
891,Charles Oakley,Virginia Union,USA,1985,1,9
293,Charles Smith,Pittsburgh,USA,1988,1,3
369,Charlie Ward,Florida State,USA,1994,1,26
685,Cherokee Parks,Duke,USA,1995,1,12
713,Chris Carr,Southern Illinois,USA,1995,2,56
201,Chris Dudley,Yale,USA,1987,4,75
423,Chris Gatling,Old Dominion,USA,1991,1,16
168,Chris Mills,Arizona,USA,1993,1,22
356,Chris Morris,Auburn,USA,1988,1,4
904,Chris Mullin,St. John's,USA,1985,1,7
997,Chris Robinson,Western Kentucky,USA,1996,2,51
185,Chris Webber,Michigan,USA,1993,1,1
43,Chris Whitney,Clemson,USA,1993,2,47
363,Christian Laettner,Duke,USA,1992,1,3
359,Chucky Brown,North Carolina State,USA,1989,2,43
221,Clar. Weatherspoon,Southern Mississippi,USA,1992,1,9
361,Clifford Robinson,Connecticut,USA,1989,2,36
32,Clifford Rozier,Louisville,USA,1994,1,16
17,Clyde Drexler,Houston,USA,1983,1,14
916,Corie Blount,Cincinnati,USA,1993,1,25
722,Corliss Williamson,Arkansas,USA,1995,1,13
724,Cory Alexander,Virginia,USA,1995,1,29
378,Craig Ehlo,Washington State,USA,1983,3,48
733,Cuonzo Martin,Purdue,USA,1995,2,57
905,Dale Davis,Clemson,USA,1991,1,13
107,Dale Ellis,Tennessee,USA,1983,1,9
757,Damon Stoudamire,Arizona,USA,1995,1,7
105,Dan Majerle,Central Michigan,USA,1988,1,14
7,Dan Schayes,Syracuse,USA,1981,1,13
344,Dana Barros,Boston College,USA,1989,1,16
198,Danny Ferry,Duke,USA,1989,1,2
330,Danny Manning,Kansas,USA,1988,1,1
241,Darrin Hancock,Kansas,USA,1994,2,38
764,David Robinson,Navy,USA,1987,1,1
710,David Vaughn,Memphis,USA,1995,1,25
766,David Wingate,Georgetown,USA,1986,2,44
1051,Dean Garrett,Indiana,USA,1988,2,38
244,Dee Brown,Jacksonville,USA,1990,1,19
209,Dell Curry,Virginia Tech,USA,1986,1,15
23,Dennis Rodman,Southeastern Oklahoma State,USA,1986,2,27
192,Dennis Scott,Georgia Tech,USA,1990,1,4
965,Derek Fisher,Arkansas-Little Rock,USA,1996,1,24
157,Derek Harper,Illinois,USA,1983,1,11
400,Derek Strong,Xavier,USA,1990,2,47
